	Source file	DateTime	Date	Time	Duration(s)	Comments	Total points	Selection type	Components	Ca43_CPS	Ca43_CPS_Int2SE	IntStdWv	IntStdWv_Int2SE	Si_ppm_m29	Si_ppm_m29_Int2SE	Cl_ppm_m35	Cl_ppm_m35_Int2SE	Sm_ppm_m147	Sm_ppm_m147_Int2SE	Th_ppm_m232	Th_ppm_m232_Int2SE	U_ppm_m238	U_ppm_m238_Int2SE
A_Dur_1	ZO6041	26/03/2020 (5) 13:34:45.17	26/03/2020 (5)	13:34:45.17	19.385	ZO6041, 1:34:45 PM (19.3 sec)	79	Normal	1	2.68E+04	0.17E+04	39.3	1.0	Below LOD	Below LOD	720	140	207.0	9.2	248.6	9.2	12.35	0.65
A_Dur_2	ZO6041	26/03/2020 (5) 14:19:18.29	26/03/2020 (5)	14:19:18.29	19.142	ZO6041, 2:19:18 PM (19.1 sec)	78	Normal	1	3.12E+04	0.21E+04	39.3	1.0	Below LOD	Below LOD	Below LOD	Below LOD	227	12	261	11	12.39	0.69
A_Dur_3	ZO6041	26/03/2020 (5) 14:20:13.21	26/03/2020 (5)	14:20:13.21	18.656	ZO6041, 2:20:13 PM (18.6 sec)	76	Normal	1	2.97E+04	0.24E+04	39.3	1.0	Below LOD	Below LOD	Below LOD	Below LOD	219	11	252	10	12.14	0.57
																							
G_NIST612_1	ZO6041	26/03/2020 (5) 13:30:04.98	26/03/2020 (5)	13:30:04.98	11.559	ZO6041, 1:30:05 PM (19.3 sec)	47	Normal	1	8.9E+03	1.5E+03	8.5	1.0	3.48E+05	0.44E+05	340	310	38.9	4.7	38.8	3.1	38.8	4.1
G_NIST612_2	ZO6041	26/03/2020 (5) 13:30:59.90	26/03/2020 (5)	13:30:59.90	11.531	ZO6041, 1:31:00 PM (19.1 sec)	47	Normal	1	8.9E+03	1.1E+03	8.5	1.0	3.36E+05	0.43E+05	-700	2200	38.2	3.9	37.9	3.4	40.3	4.6
G_NIST612_3	ZO6041	26/03/2020 (5) 13:45:07.28	26/03/2020 (5)	13:45:07.28	15.53	ZO6041, 1:45:07 PM (19.1 sec)	64	Normal	1	9.5E+03	1.4E+03	8.5	1.0	3.38E+05	0.32E+05	Below LOD	Below LOD	36.9	3.5	36.2	2.3	36.3	2.9
G_NIST612_4	ZO6041	26/03/2020 (5) 13:46:01.71	26/03/2020 (5)	13:46:01.71	17.42	ZO6041, 1:46:02 PM (19.8 sec)	71	Normal	1	9.1E+03	1.3E+03	8.5	1.0	3.19E+05	0.26E+05	Below LOD	Below LOD	38.2	3.1	37.6	2.5	35.5	2.6
G_NIST612_5	ZO6041	26/03/2020 (5) 13:58:24.11	26/03/2020 (5)	13:58:24.11	19.385	ZO6041, 1:58:24 PM (19.3 sec)	79	Normal	1	7.7E+03	1.0E+03	8.5	1.0	3.46E+05	0.32E+05	Below LOD	Below LOD	39.0	3.5	38.3	2.2	37.8	2.9
G_NIST612_6	ZO6041	26/03/2020 (5) 13:59:18.55	26/03/2020 (5)	13:59:18.55	19.385	ZO6041, 1:59:19 PM (19.3 sec)	79	Normal	1	7260	940	8.5	1.0	3.54E+05	0.29E+05	Below LOD	Below LOD	38.2	2.9	39.9	2.4	39.0	3.1
